64位十进制	64位hex	thin(高32位十进制)	来源	名称/路径
1243	00000000000004db	0	Excel	掠食变种
1244	00000000000004dc	0	Excel	孢裂
1245	00000000000004dd	0	Excel	掠食变种(图标)
1246	00000000000004de	0	Excel	非军事化
1247	00000000000004df	0	Excel	MD-8 毒气地雷 v2
1248	00000000000004e0	0	Excel	炙灼部队
1249	00000000000004e1	0	Excel	炙灼部队 (图标)
1250	00000000000004e2	0	Excel	+30% 飞鹰重新武装时间
1251	00000000000004e3	0	Excel	-45s 飞鹰重新武装时间
1252	00000000000004e4	0	Excel	破裂星球 v2
1253	00000000000004e5	0	Excel	载具燃油减少(-90%)
1254	00000000000004e6	0	Excel	MG-206 重机枪
1255	00000000000004e7	0	Excel	再生覆盖 v4
1256	00000000000004e8	0	Excel	E/GL-21 掷弹兵防卫墙
1257	00000000000004e9	0	Excel	减少 弹药拾取(-50% 弹匣)
1258	00000000000004ea	0	Excel	增援减少(-2)
1261	00000000000004ed	0	Excel	爱国者外骨骼冷却时间减少(-35%)
1262	00000000000004ee	0	Excel	解放者外骨骼冷却时间减少(-35%)
1263	00000000000004ef	0	Excel	M-105 盟友
1264	00000000000004f0	0	Excel	治疗针减少(-2 治疗针)
1265	00000000000004f1	0	Excel	快速侦察车冷却时间增加(+100%)
1267	00000000000004f3	0	Excel	轨道毒气攻击 v2
1268	00000000000004f4	0	Excel	负能量实验室
1269	00000000000004f5	0	Excel	大军 (图标)
1270	00000000000004f6	0	Excel	未知(1270)
1271	00000000000004f7	0	Excel	未知(发现于超级地球)
1272	00000000000004f8	0	Excel	增援增加(+2)
1273	00000000000004f9	0	Excel	+30s 飞鹰重新武装时间
1274	00000000000004fa	0	Excel	M-105 盟友 v2
1275	00000000000004fb	0	Excel	轨道 冷却时间增加(+60秒)
1276	00000000000004fc	0	Excel	FX-12 护盾生成中继器 v2
1277	00000000000004fd	0	Excel	轨道凝固汽油弹火力网 v2
1278	00000000000004fe	0	Excel	弹药紧缺(-50% 弹匣)
1279	00000000000004ff	0	Excel	M-102 快速侦察载具
1280	0000000000000500	0	Excel	轨道烟雾攻击
1281	0000000000000501	0	Excel	飞鹰烟雾攻击
1282	0000000000000502	0	Excel	绝地潜兵训练设施
1283	0000000000000503	0	Excel	移动工厂激增 (+50% 生成)
1284	0000000000000504	0	Excel	GR-8 无后坐力炮
1285	0000000000000505	0	Excel	穿刺虫激增 (+100% 生成)
1286	0000000000000506	0	Excel	新希望建设工地
1287	0000000000000507	0	Excel	新希望城
1288	0000000000000508	0	Excel	孢裂食腐虫 激增 (+200% 生成)
1289	0000000000000509	0	Excel	轨道炮攻击冷却时间减少(-150秒)
1290	000000000000050a	0	Excel	轨道炮攻击 v2
1291	000000000000050b	0	Excel	新抱负城
1292	000000000000050c	0	Excel	新渴望城
1293	000000000000050d	0	Excel	强袭虫 激增 (+45% 生成)
1294	000000000000050e	0	Excel	吐酸泰坦 激增 (-100% 生成)
1295	000000000000050f	0	Excel	暴政公园 2
1296	0000000000000510	0	Excel	追踪虫激增 (+400% 生成)
1297	0000000000000511	0	Excel	追猎虫激增 (+900% 生成)
1298	0000000000000512	0	Excel	快速侦察车冷却时间增加 v2(+100%)
1299	0000000000000513	0	Excel	飞行延误(+150秒 撤离时间)
1300	0000000000000514	0	Excel	弹药充裕(+50% 弹匣)
1301	0000000000000515	0	Excel	A/G-16 加特林哨戒炮
1302	0000000000000516	0	Excel	AX/LAS-5 "护卫犬"漫游车(激光狗)
1303	0000000000000517	0	Excel	爆裂变种
1305	0000000000000519	0	Excel	飞行延误(+50秒 撤离时间)
1306	000000000000051a	0	Excel	蟑龙
1307	000000000000051b	0	Excel	霸王虫
1308	000000000000051c	0	Excel	霸王虫(图标)
1309	000000000000051d	0	Excel	蟑龙(图标)
1310	000000000000051e	0	Excel	爆裂变种(图标)
1311	000000000000051f	0	Excel	巢穴星球
1312	0000000000000520	0	Excel	轻度阴霾笼罩(+20秒 撤离时间)
1313	0000000000000521	0	Excel	中度阴霾覆盖(+30秒 撤离时间)
1314	0000000000000522	0	Excel	+20% 飞鹰重新武装时间
1315	0000000000000523	0	Excel	重度阴霾遮蔽(+40秒 撤离时间)
1316	0000000000000524	0	Excel	+30% 飞鹰重新武装时间
1317	0000000000000525	0	Excel	减少 弹药拾取(-50% 弹匣)
1318	0000000000000526	0	Excel	阴霾源头(-1 增援)
1319	0000000000000527	0	Excel	减少 弹药拾取(-50% 弹匣)
1320	0000000000000528	0	Excel	+30% 飞鹰重新武装时间
1321	0000000000000529	0	Excel	飞行延误(+20秒 撤离时间)
1322	000000000000052a	0	Excel	飞行延误(+40秒 撤离时间)
1323	000000000000052b	0	Excel	+30% 飞鹰重新武装时间
1324	000000000000052c	0	Excel	超镁铁质矿区
1325	000000000000052d	0	Excel	+15% 飞鹰重新武装时间
1326	000000000000052e	0	Excel	飞行延误(+25秒 撤离时间)
1327	000000000000052f	0	Excel	地图 图标(？)
1328	0000000000000530	0	Excel	RL-77 空爆火箭弹发射器
1329	0000000000000531	0	Excel	自由日
1330	0000000000000532	0	Excel	解放日烟火
1331	0000000000000533	0	Excel	CQC-1 唯一真旗
1332	0000000000000534	0	Excel	LIFT-182 传送背包
1333	0000000000000535	0	Excel	E-711 提取设施
1334	0000000000000536	0	Excel	LAS-98 激光大炮
1335	0000000000000537	0	Excel	轨道 游走 火力网
1342	000000000000053e	0	Excel	异见禁锢中心(CECOD)
1343	000000000000053f	0	Excel	飞鹰凝固汽油弹空袭 v3
1344	0000000000000540	0	Excel	潘多拉基地
1345	0000000000000541	0	Excel+cheat	轨道 120mm 高爆/电磁冲击波 火力网
1346	0000000000000542	0	Excel+cheat	燃烧加特林 火力网
1347	0000000000000543	0	Excel	LIFT-860 悬浮背包
1348	0000000000000544	0	Excel	GL-52 缓和使者
1349	0000000000000545	0	Excel	AX/ARC-3 K-9 电击护卫犬
1350	0000000000000546	0	Excel+cheat	烟雾强化游走 火力网
1351	0000000000000547	0	Excel	B-100 便携式地狱火炸弹
1352	0000000000000548	0	Excel	稳定黑洞
1353	0000000000000549	0	Excel	机器人"数据库一号"(含图标)
1354	000000000000054a	0	Excel	机器人重甲敌军激增 (+110% 生成)
1355	000000000000054b	0	Excel	机器人重甲敌军激增 (图标)
1356	000000000000054c	0	Excel	巨型者激增 (+125% 生成)
1357	000000000000054d	0	Excel	巨型者激增 (图标)
1358	000000000000054e	0	Excel	蹂躏者激增 (+150% 生成)
1359	000000000000054f	0	Excel	蹂躏者激增 (图标)
1360	0000000000000550	0	Excel	生化人
1361	0000000000000551	0	Excel	生化人 (图标)
1362	0000000000000552	0	Excel	赛博斯坦轨道战场(改变战场天空盒)
1363	0000000000000553	0	Excel	飞行延误(+30秒 撤离时间)
1364	0000000000000554	0	Excel	制空权(-30秒 撤离时间)
1365	0000000000000555	0	Excel	轨道 冷却时间增加(+40秒)
1366	0000000000000556	0	Excel	弹药紧缺(-50% 弹匣)
1367	0000000000000557	0	Excel	治疗针减少(-1 治疗针)
1369	0000000000000559	0	Excel	治疗针增加(+1 治疗针)
1370	000000000000055a	0	Excel	+25% 飞鹰重新武装时间
1371	000000000000055b	0	Excel	移动工厂激增 (减少 生成)
1373	000000000000055d	0	Excel	一级异界风暴
1374	000000000000055e	0	Excel	二级异界风暴
1375	000000000000055f	0	Excel	三级异界风暴
1376	0000000000000560	0	Excel	寂域（旧）（船舰视图天空盒）
1377	0000000000000561	0	Excel	无脑群氓
1378	0000000000000562	0	Excel	无脑群氓 (图标)
1379	0000000000000563	0	Excel	占领者 (图标)
1380	0000000000000564	0	Excel	占领者
1381	0000000000000565	0	Excel	未知(1381)
1382	0000000000000566	0	Excel	未知(1382)
1384	0000000000000568	0	Excel	伐木者骨骼冷却时间减少
1385	0000000000000569	0	Excel	突破骨骼冷却时间减少
1386	000000000000056a	0	Excel	孢裂（图标）
1400	0000000000000578	0	Excel+cheat	武装重兵(图标)
1401	0000000000000579	0	Excel+cheat	武装重兵
1402	000000000000057a	0	Excel	窃票者
1403	000000000000057b	0	Excel	窃票者（图标）
1407	000000000000057f	0	Excel	寂域通路（访问寂域）
1408	0000000000000580	0	Excel	寂域
1409	0000000000000581	0	Excel	寂域星球（天空盒、选择音效及浏览效果）
1412	0000000000000584	0	Excel	寂域星球（星图选择音效）
1413	0000000000000585	0	Excel	入侵舰队
1414	0000000000000586	0	Excel	入侵舰队（图标）
1417	0000000000000589	0	Excel	寂域星球（星球浏览界面）
1418	000000000000058a	0	Excel	拒止星球/紧急跃迁星球
362157	00000000000586ad	0	Excel	直角握把带激光瞄准器
24188730	000000000171173a	0	Excel	手枪-SMG-9x20mm铝热弹
28539884	0000000001b37bec	0	Excel	SMG-37 防卫者 45发扩容弹匣
68453757	000000000414857d	0	Excel	13
70755494	000000000437a4a6	0	Excel	10 倍瞄具（加速步枪）
75735786	000000000483a2ea	0	Excel	9mm 消焰器
85232319	0000000005148abf	0	Excel	手枪-SMG-12x25mm铝热弹
118922575	0000000007169d4f	0	Excel	10号霰弹 全喉缩
141448282	00000000086e545a	0	Excel	72
145688603	0000000008af081b	0	Excel	SMG-37 防卫者 35发短弹匣
148015057	0000000008d287d1	0	Excel	5.5mm 消焰器
156837283	00000000095925a3	0	Excel	111
175121524	000000000a702474	0	Excel	无枪口
209531742	000000000c7d335e	0	Excel	5.5mm 补偿器
238411425	000000000e35dea1	0	Excel	步枪-5.5x50mm撕裂弹
242917037	000000000e7a9ead	0	Excel	手枪-SMG-12x25mm高爆弹
245428325	000000000ea0f065	0	Excel	莫枪森Holo瞄具(Morgunson Holo)
262187748	000000000fa0aae4	0	Excel	火箭-15x100mm高爆弹
278813976	00000000109e5d18	0	Excel	霰弹-12号-龙息弹
292456975	00000000116e8a0f	0	Excel	P-19 救世主 31发长弹匣
308839248	0000000012688350	0	Excel	霰弹-12号-鹿弹
323107926	0000000013423c56	0	Excel	9mm 无枪口
342335342	0000000014679f6e	0	Excel	15mm 喷气辅助步枪弹鼓
360207025	00000000157852b1	0	Excel	12mm 无枪口
370552283	0000000016162ddb	0	Excel	火箭-15x100mm标准火箭
381269619	0000000016b9b673	0	Excel	12mm 补偿器
385920245	000000001700acf5	0	Excel	步枪-8x60mm被甲弹
430916676	0000000019af4444	0	Excel	无模型手电筒
434373787	0000000019e4049b	0	Excel	12号霰弹 半喉缩
461255937	000000001b7e3501	0	Excel	10 倍瞄具（沙丘行者）
486122492	000000001cf9a3fc	0	Excel	步枪-8x60mm穿甲弹
500099854	000000001dceeb0e	0	Excel	127
510429706	000000001e6c8a0a	0	Excel	9×70mm 标准步枪弹夹
562386643	00000000218556d3	0	Excel	步枪-8x60mm铀芯弹
675770310	0000000028476fc6	0	Excel	手枪-SMG-9x20mm等离子
706304080	000000002a195850	0	Excel	火箭-15x100mm等离子弹
707565522	000000002a2c97d2	0	Excel	步枪-9x70mm穿甲弹
719369589	000000002ae0b575	0	Excel	步枪-9x70mm推进弹
723313826	000000002b1ce4a2	0	Excel	手枪-SMG-12x25mm被甲弹
729386491	000000002b798dfb	0	Excel	破裂者系列 26发弹鼓
752239949	000000002cd6454d	0	Excel	R-4 鬣狗 制退器
769677614	000000002de0592e	0	Excel	步枪-8x60mm双倍威力弹
796607639	000000002f7b4497	0	Excel	手电
805279721	000000002fff97e9	0	Excel	130
816408359	0000000030a96727	0	Excel	AR-32 安抚者 制退器
835566036	0000000031cdb9d4	0	Excel	19
841650739	00000000322a9233	0	Excel	2 倍瞄具
871017061	0000000033eaaa65	0	Excel	R-72 审查官 16发短弹匣（废案）
953250541	0000000038d172ed	0	Excel	霰弹-12号-马格南三球弹
1023838150	000000003d0687c6	0	Excel	LAS-22 切变 7s改良散热器
1041788703	000000003e186f1f	0	Excel	SMG/FLAM-34 司炉者 下挂喷火器
1078216257	0000000040444641	0	Excel	2
1139201274	0000000043e6d4fa	0	Excel	74
1141992542	0000000044116c5e	0	Excel	霰弹-12号-独头弹
1149721372	0000000044875b1c	0	Excel	119
1168224318	0000000045a1b03e	0	Excel	AR-32 安抚者 45发弹匣
1176897956	00000000462609a4	0	Excel	11
1181917201	000000004672a011	0	Excel	全息式瞄具
1184838873	00000000469f34d9	0	Excel	手枪反射式瞄具
1206147961	0000000047e45b79	0	Excel	MP-98 骑士 50发弹匣
1227216408	000000004925d618	0	Excel	手枪-SMG-12x25mm撕裂弹
1266617200	000000004b7f0b70	0	Excel	手枪-SMG-9x20mm被甲弹
1271084501	000000004bc335d5	0	Excel	5.5mm 制退器
1279081777	000000004c3d3d31	0	Excel	40mm 榴弹手枪破片弹夹
1286162701	000000004ca9490d	0	Excel	手枪-SMG-9x20mm撕裂弹
1299657695	000000004d7733df	0	Excel	手枪-SMG-12x25mm等离子
1320980579	000000004ebc9063	0	Excel	126
1329537565	000000004f3f221d	0	Excel	R-4 鬣狗 10发短弹匣
1331505398	000000004f5d28f6	0	Excel	MP-98 骑士 70发大弹匣
1351960918	0000000050954956	0	Excel	AR-23P 穿甲解放者 制退器
1393691251	0000000053120a73	0	Excel	LAS-22 切变 2s快速过热散热器
1397956886	0000000053532116	0	Excel	步枪-9x70mm被甲弹
1399218880	00000000536662c0	0	Excel	R-72 审查官 30发长弹匣
1401341190	000000005386c506	0	Excel	左轮-13x40mm穿甲弹
1405828602	0000000053cb3dfa	0	Excel	75
1433662981	000000005573f605	0	Excel	12号霰弹 鸭嘴
1445040833	00000000562192c1	0	Excel	SG-225SP 鸟弹 26发弹鼓
1450370231	000000005672e4b7	0	Excel	LAS-22 切变 4s标准散热器
1455203693	0000000056bca56d	0	Excel	步枪-9x70mm特种弹
1472641932	0000000057c6bb8c	0	Excel	步枪-9x70mm高速弹
1473310708	0000000057d0eff4	0	Excel	步枪-5.5x50mm亚音速弹
1485903299	00000000589115c3	0	Excel	机械瞄具
1487859566	0000000058aeef6e	0	Excel	手枪-SMG-9x20mm高速弹
1498264736	00000000594db4a0	0	Excel	步枪-9x70mm狙击弹
1514045116	000000005a3e7ebc	0	Excel	磁轨炮瞄具
1516323066	000000005a6140fa	0	Excel	16
1533928511	000000005b6de43f	0	Excel	129
1534689081	000000005b797f39	0	Excel	手枪-SMG-12x25mm毒气弹
1547078452	000000005c368b34	0	Excel	22
1552485845	000000005c890dd5	0	Excel	BR-41 审判者 制退器
1557406978	000000005cd42502	0	Excel	左轮-13x40mm被甲弹
1557655999	000000005cd7f1bf	0	Excel	手枪-SMG-9x20mm高爆弹
1589856681	000000005ec349a9	0	Excel	12mm 消焰器
1600731360	000000005f6938e0	0	Excel	步枪-5.5x50mm被甲弹
1606167690	000000005fbc2c8a	0	Excel	AR-23C 解放者卡宾 30发快拔短弹匣
1622293962	0000000060b23dca	0	Excel	步枪-8x60mm亚音速弹
1629246302	00000000611c535e	0	Excel	144
1671087940	00000000639ac744	0	Excel	10号霰弹 半喉缩
1713239419	00000000661df57b	0	Excel	1.5 倍瞄具
1719143516	0000000066780c5c	0	Excel	49
1726804450	0000000066ecf1e2	0	Excel	12号霰弹 全喉缩
1734799774	000000006766f19e	0	Excel	149
1742775424	0000000067e0a480	0	Excel	10 倍瞄具
1764666355	00000000692eabf3	0	Excel	SMG/FLAM-34 司炉者 25发短弹匣
1769582066	000000006979adf2	0	Excel	步枪-8x60mm燃烧弹
1783185691	000000006a49411b	0	Excel	步枪-9x70mm铀芯弹
1790451195	000000006ab81dfb	0	Excel	手枪-SMG-9x20mm毒气弹
1794183093	000000006af10fb5	0	Excel	PLAS-15 忠诚者 8发等离子弹匣
1794406941	000000006af47a1d	0	Excel	AR-59 消音器 60发弹鼓
1814005482	000000006c1f86ea	0	Excel	SMG/FLAM-34 司炉者 60发弹鼓
1820737569	000000006c864021	0	Excel	斜握把
1837468583	000000006d858ba7	0	Excel	105
1868939925	000000006f65c295	0	Excel	SMG-72 暴击斗士 75发弹鼓
1891970284	0000000070c52cec	0	Excel	PLAS-1 焦土 20发等离子扩容弹匣
1896165189	0000000071052f45	0	Excel	刺刀
1912336268	0000000071fbef8c	0	Excel	AR-23C 解放者卡宾 45发快拔扩容弹匣
1938888491	000000007391172b	0	Excel	霰弹-12号-虫弹
1941667008	0000000073bb7cc0	0	Excel	飞矛瞄具
1942625118	0000000073ca1b5e	0	Excel	解放者系列 45发扩容弹匣
2003229240	000000007766da38	0	Excel	无瞄具 / 默认瞄具
2030090401	000000007900b8a1	0	Excel	火箭-15x100mm高速弹
2064512457	000000007b0df5c9	0	Excel	左轮-13x40mm撕裂弹
2085726026	000000007c51a74a	0	Excel	SMG-203 英勇无畏 70发大弹匣
2099761097	000000007d27cfc9	0	Excel	步枪-5.5x50mm铀芯弹
2173281941	000000008189a695	0	Excel	PLAS-15 忠诚者 13发等离子弹匣
2212187482	0000000083db4d5a	0	Excel	PLAS-101 净化者 15发等离子弹匣
2266063233	0000000087116181	0	Excel	步枪-8x60mm毁灭弹
2272725875	0000000087770b73	0	Excel	LAS-5 长柄镰 5s高功率散热器
2301235978	00000000892a130a	0	Excel	火箭-15x100mm铝热弹
2357279326	000000008c813a5e	0	Excel	步枪-5.5x50mm毁灭弹
2370477132	000000008d4a9c4c	0	Excel	R-63CS 反狙击勤勉 制退器
2371828188	000000008d5f39dc	0	Excel	步枪-8x60mm高爆弹
2373844328	000000008d7dfd68	0	Excel	SG-225SP 鸟弹 13发短弹匣
2392936733	000000008ea1511d	0	Excel	9×20mm 扩容手枪弹夹
2414856036	000000008fefc764	0	Excel	8mm 补偿器
2417688961	00000000901b0181	0	Excel	手枪-SMG-12x25mm高速弹
2448310703	0000000091ee41af	0	Excel	8mm 制退器
2501403170	0000000095186222	0	Excel	步枪-5.5x50mm空尖弹
2513449932	0000000095d033cc	0	Excel	76
2537525017	00000000973f8f19	0	Excel	进阶垂直握把
2569155200	0000000099223280	0	Excel	无模型激光手电筒
2572716802	0000000099588b02	0	Excel	9mm 补偿器
2586731142	000000009a2e6286	0	Excel	
2603832579	000000009b335503	0	Excel	霰弹-12号-三球弹
2612176639	000000009bb2a6ff	0	Excel	火箭-15x100mm毒气弹
2648163130	000000009dd7c33a	0	Excel	148
2652540898	000000009e1a8fe2	0	Excel	步枪-5.5x50mm高爆弹
2682524333	000000009fe412ad	0	Excel	R-72 审查官 20发弹匣
2689711979	00000000a051bf6b	0	Excel	AR/GL-21 幺二 下挂榴弹发射器
2709502862	00000000a17fbb8e	0	Excel	步枪-8x60mm高速弹
2712983103	00000000a1b4d63f	0	Excel	132
2735323171	00000000a309b823	0	Excel	W.A.S.P. 黄蜂瞄具
2760277963	00000000a4867fcb	0	Excel	步枪-5.5x50mm穿甲弹
2806539264	00000000a7486400	0	Excel	AR-2 野狼 制退器
2834861985	00000000a8f88fa1	0	Excel	AR-59 消音器 30发弹鼓
2884275221	00000000abea8c15	0	Excel	手枪-SMG-9x20mm空尖弹
2898351644	00000000acc1561c	0	Excel	无下挂
2927341039	00000000ae7badef	0	Excel	破裂者系列 13发短弹匣
2934027845	00000000aee1b645	0	Excel	垂直握把带手电
2937061549	00000000af1000ad	0	Excel	77
2949600140	00000000afcf538c	0	Excel	15mm 补偿器
2960812436	00000000b07a6994	0	Excel	霰弹-12号-箭型弹
2965625909	00000000b0c3dc35	0	Excel	125
2993266867	00000000b269a0b3	0	Excel	P-2 和平制造者 15发弹匣
3072203841	00000000b71e1c41	0	Excel	AR-23C 解放者卡宾 60发快拔弹鼓
3073392033	00000000b7303da1	0	Excel	反射式瞄具
3086651645	00000000b7fa90fd	0	Excel	R-4 鬣狗 15发长弹匣
3170853794	00000000bcff63a2	0	Excel	9×70mm 扩容步枪弹夹
3207983096	00000000bf35eff8	0	Excel	直角握把
3214388871	00000000bf97ae87	0	Excel	火箭-15x100mm破片弹
3260879154	00000000c25d1132	0	Excel	59
3272359440	00000000c30c3e10	0	Excel	步枪-8x60mm空爆弹
3296677822	00000000c47f4fbe	0	Excel	SMG-72 暴击斗士 35发短弹匣
3305855050	00000000c50b584a	0	Excel	左轮-13x40mm空尖弹
3396852888	00000000ca77dc98	0	Excel	破裂者系列 16发扩容弹匣
3432499358	00000000cc97c89e	0	Excel	8mm 消焰器
3441477456	00000000cd20c750	0	Excel	垂直握把
3444949128	00000000cd55c088	0	Excel	激光瞄准器
3448072094	00000000cd85679e	0	Excel	SMG-203 英勇无畏 50发弹匣
3470559404	00000000cedc88ac	0	Excel	18
3495923668	00000000d05f8fd4	0	Excel	5.5mm无枪口
3532313353	00000000d28ad309	0	Excel	9
3539018902	00000000d2f12496	0	Excel	15mm 制退器
3560295186	00000000d435cb12	0	Excel	左轮-13x40mm马格南弹
3574620973	00000000d510632d	0	Excel	SG-225SP 鸟弹 16发扩容弹匣
3593688354	00000000d6335522	0	Excel	步枪-5.5x50mm高速弹
3596468569	00000000d65dc159	0	Excel	LAS-22 切变 激光器棱镜
3605674268	00000000d6ea391c	0	Excel	霰弹-12号-马格南弹
3626366629	00000000d825f6a5	0	Excel	15mm 消焰器
3628564920	00000000d84781b8	0	Excel	10
3651359518	00000000d9a3531e	0	Excel	激光瞄准器与手电
3651829273	00000000d9aa7e19	0	Excel	次抛(E.A.T.)默认红点瞄具
